what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1269927381969
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1269927381969
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1269927381971
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1269927381972
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1269927381973
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1269927381974
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1269927381975
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1269927381976
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1269927381977
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1269927381979
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1269927381979
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1269927381980
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1269927381981
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1269927381981
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200911141735,"org.eclipse.wst.common.project.facet.core",1269927381981
started,bundle,org.eclipse.wst.web,1.1.301.v200911302230,"org.eclipse.wst.web",1269927381982
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1269927381982
os,sysinfo,,,"win32",1269927381987
arch,sysinfo,,,"x86",1269927381987
ws,sysinfo,,,"win32",1269927381987
locale,sysinfo,,,"en_CA",1269927381987
processors,sysinfo,,,"2",1269927381987
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1269927381987
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1269927381987
java.specification.name,sysinfo,,,"Java Platform API Specification",1269927381987
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1269927381987
java.specification.version,sysinfo,,,"1.6",1269927381987
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1269927381987
java.version,sysinfo,,,"1.6.0_18",1269927381987
java.vm.info,sysinfo,,,"mixed mode, sharing",1269927381987
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1269927381987
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1269927381987
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1269927381987
java.vm.specification.version,sysinfo,,,"1.0",1269927381987
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1269927381987
java.vm.version,sysinfo,,,"16.0-b13",1269927381987
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1269927386530
started,bundle,org.eclipse.pde.core,3.5.101.v20100104,"org.eclipse.pde.core",1269927386954
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269927386959
